Date,Open,High,Low,Close,DMA7,DMA15,DMA50,DMA100,DMA200
7-Jan-15,26983.43,27051.6,26776.12,26908.82,27503.42,27344.84,27756.26,27146.9,25615.09
8-Jan-15,27178.77,27316.41,27101.94,27274.71,27433.86,27353.33,27760.27,27159.33,25642.19
9-Jan-15,27404.19,27507.67,27119.63,27458.38,27415.45,27390.97,27761.42,27176.19,25670.06
12-Jan-15,27523.86,27620.66,27323.74,27585.27,27409.59,27413.09,27771.86,27197.48,25698.97
13-Jan-15,27611.56,27670.19,27324.58,27425.73,27420.69,27427.32,27783.41,27218.14,25726.91
14-Jan-15,27432.14,27512.8,27203.25,27346.82,27354.67,27408.91,27793.15,27233.59,25754.35
15-Jan-15,27831.16,28194.61,27703.7,28075.55,27283.88,27398.27,27794.74,27247.87,25785.41
16-Jan-15,28056.61,28176.1,27945.31,28121.89,27439.33,27456.06,27784.36,27267.59,25817.16
19-Jan-15,28249.84,28334.06,28197.36,28262.01,27612.62,27514.74,27788.66,27284.9,25849.54
20-Jan-15,28324.85,28829.29,28324.85,28784.67,27753.66,27572.49,27792.78,27303.31,25884.51
21-Jan-15,28843.09,28958.1,28792.57,28888.86,27943.13,27664.57,27800.65,27328.02,25918.5
22-Jan-15,28957.79,29060.41,28892.23,29006.02,28129.36,27757.2,27818.85,27353.31,25953.09
23-Jan-15,29189.45,29408.73,29165.56,29278.84,28355.12,27857.09,27838.43,27379.17,25988.82
27-Jan-15,29451.65,29618.59,29286.09,29571.04,28631.12,27949.82,27858.37,27407.59,26025.42
28-Jan-15,29565.72,29786.32,29417.67,29559.18,28844.76,28065.07,27885.13,27438.87,26061.34
29-Jan-15,29516.49,29740.63,29378.3,29681.77,29050.09,28236.52,27915.62,27468.86,26097.64
30-Jan-15,29801.6,29844.16,29070.48,29182.95,29252.91,28421.38,27943.25,27499.3,26131.15
2-Feb-15,29143.63,29268.13,28958.52,29122.27,29309.81,28548.6,27973.62,27522.45,26163.84
3-Feb-15,29217.4,29253.06,28900.41,29000.14,29343.15,28659.52,27996.62,27543.48,26196.14
4-Feb-15,29129.85,29133.62,28824.68,28883.11,29342.31,28753.85,28017.71,27562.08,26228.59
5-Feb-15,28912.38,29277.83,28753.29,28850.97,29285.78,28851.01,28031.02,27580.05,26260.97
6-Feb-15,28892.21,28922.85,28647.14,28717.91,29182.91,28951.28,28038.69,27598.3,26290.9
9-Feb-15,28566.5,28566.5,28183.32,28227.39,29062.73,28994.11,28048.95,27612.28,26318.32
10-Feb-15,28122.48,28633.72,28044.49,28355.62,28854.96,29001.14,28055.59,27621.9,26346.81
11-Feb-15,28450.26,28618.91,28424.39,28533.97,28736.77,29007.38,28051.36,27634.88,26376.9
12-Feb-15,28650.25,28838.52,28406.25,28805.1,28652.73,28990.67,28044.59,27650.26,26409.38
13-Feb-15,28888.99,29154.67,28835.7,29094.93,28624.87,28985.09,28044.08,27667.7,26441.55
16-Feb-15,29170.77,29325.35,29083.4,29135.88,28655.13,28991.01,28051.3,27690.49,26473.25
18-Feb-15,29136.07,29411.32,29126.91,29320.26,28695.83,28981.48,28064.34,27716.92,26505.89
19-Feb-15,29434.91,29522.86,29108.15,29462.27,28781.88,28964.76,28075.8,27743.81,26538.66
20-Feb-15,29446.21,29462.09,29178.26,29231.41,28958.29,28958.3,28093.05,27767.31,26571.21
23-Feb-15,29316.58,29362.96,28913.16,28975.11,29083.4,28928.28,28119.9,27788.72,26602.77
24-Feb-15,29016.55,29130.67,28875.94,29004.66,29146.42,28914.42,28148.59,27806.4,26635.3
25-Feb-15,29115.32,29269.83,28967.61,29007.99,29174.93,28906.58,28171.47,27828.69,26668.09
26-Feb-15,29051.9,29069.13,28693.82,28746.65,29162.51,28907.11,28199.53,27851.33,26699.65
27-Feb-15,28865.12,29254.02,28837.06,29220.12,29106.91,28898.01,28232.67,27874.11,26733.35
28-Feb-15,29411.33,29560.32,28882.02,29361.5,29092.6,28922.62,28261.21,27900.05,26767.45
